time,signal
0,0.51018
10,0.354507
20,0.339088
30,0.32199
40,0.325136
50,0.334309
60,0.304747
70,0.309292
80,0.323129
90,0.309472
100,438.158
110,28.051
120,27.1132
130,27.6768
140,31.1787
150,28.5123
160,30.8324
170,28.7005
180,27.5475
190,28.5898
200,799.178
210,814.218
220,34.1671
230,1270.21
240,28.1198
250,26.8436
260,27.0541
270,26.7303
280,26.8342
290,27.0344
300,26.7895
310,26.7132
320,26.7076
330,26.5357
340,26.9127
350,27.7663
360,28.0866
370,27.7085
380,27.7513
390,27.5577
400,27.8826
410,59.3546
420,267.483
430,253.877
440,240.096
450,225.69
460,218.449
470,51.7162
480,25.5746
490,25.4545
500,25.217
510,25.3045
520,25.0843
530,25.3242
540,25.155
550,25.2844
560,25.3521
570,25.2039
580,25.1855
590,24.916
600,25.0814
610,25.159
620,25.319
630,25.2559
640,25.1282
650,25.0893
660,25.2376
670,25.438
680,24.9963
690,25.2546
700,25.1626
710,25.0304
720,25.3108
730,25.302
740,25.0796
750,25.0895
760,25.2521
770,25.1457
780,25.0179
790,25.0839
800,25.1516
810,25.0284
820,25.1158
830,25.0432
840,25.0099
850,25.0982
860,25.0844
870,25.1181
880,25.5873
890,25.4804
900,25.5883
910,25.2891
920,25.6355
930,25.633
940,113.902
950,126.334
960,125.359
970,50.9137
980,122.141
990,122.904
1000,123.505
1010,124.405
1020,125.023
1030,124.856
1040,124.776
1050,125.752
1060,126.653
1070,127.178
1080,128.219
1090,128.367
1100,129.007
1110,128.97
1120,129.165
1130,129.281
1140,130.017
1150,130.045
1160,130.466
1170,130.184
1180,131.297
1190,130.927
1200,130.95
1210,130.793
1220,130.498
1230,130.967
1240,130.933
1250,130.791
1260,131.136
1270,131.047
1280,131.184
1290,130.73
1300,130.567
1310,129.601
1320,130.187
1330,129.848
1340,129.273
1350,129.626
1360,129.205
1370,40.2215
1380,126.593
1390,127.327
1400,127.383
1410,127.596
1420,127.177
1430,127.51
1440,127.376
1450,126.649
1460,126.885
1470,126.571
1480,127.152
1490,52.4434
1500,122.929
1510,123.252
1520,123.117
1530,123.163
1540,122.538
1550,122.591
1560,123.751
1570,120.357
1580,121.014
1590,120.87
1600,120.712
1610,120.69
1620,120.693
1630,120.165
1640,33.012
1650,115.986
1660,116.306
1670,115.885
1680,115.652
1690,115.359
1700,115.142
1710,115.699
1720,115.292
1730,114.976
1740,115.284
1750,114.482
1760,113.744
1770,114.145
1780,113.164
1790,113.068
1800,112.737
1810,112.486
1820,112.644
1830,111.903
1840,111.749
1850,111.033
1860,111.284
1870,110.507
1880,110.302
1890,110.037
1900,109.282
1910,109.29
1920,108.784
1930,108.469
1940,107.589
1950,107.189
1960,107.069
1970,106.683
1980,105.894
1990,105.514
2000,105.676
2010,104.837
2020,104.47
2030,103.886
2040,103.453
2050,103.061
2060,102.58
2070,102.714
2080,101.567
2090,101.321
2100,101.088
2110,100.407
2120,100.149
2130,100.042
2140,99.2534
2150,98.747
2160,98.4326
2170,98.2881
2180,98.1037
2190,97.7138
2200,96.8974
2210,96.5191
2220,96.6338
2230,95.8339
2240,96.0079
2250,95.1014
2260,94.8702
2270,94.6419
2280,94.1015
2290,94.0779
2300,93.5988
2310,93.2965
2320,92.9489
2330,92.3019
2340,91.7214
2350,91.7756
2360,91.7397
2370,91.5021
2380,91.2373
2390,90.6272
2400,90.0221
2410,90.388
2420,89.4973
2430,88.856
2440,89.1252
2450,88.5296
2460,88.2202
2470,87.9215
2480,88.1659
2490,87.6427
2500,86.8472
2510,87.0002
2520,87.0342
2530,86.5455
2540,86.8138
2550,85.9856
2560,86.052
2570,85.8134
2580,85.873
2590,85.1826
2600,85.0973
2610,84.6369
2620,84.535
2630,84.6371
2640,84.44
2650,83.7533
2660,83.8637
2670,83.8486
2680,83.2571
2690,82.9067
2700,83.2189
2710,82.9137
2720,82.4626
2730,82.2346
2740,82.1255
2750,82.1753
2760,81.9762
2770,81.5121
2780,81.7838
2790,81.1046
2800,81.1022
2810,81.3774
2820,81.1635
2830,80.934
2840,80.5999
2850,80.4326
2860,80.4067
2870,79.9923
2880,80.04
2890,79.4908
2900,79.7046
2910,79.8534
2920,79.3912
2930,79.1821
2940,78.9558
2950,79.0356
2960,78.6858
2970,78.332
2980,78.374
2990,78.3477
3000,78.1966
3010,78.1428
3020,77.8647
3030,77.7523
3040,77.5682
3050,77.7822
3060,77.4996
3070,77.4711
3080,77.3098
3090,77.6797
3100,77.1564
3110,77.2384
3120,76.9032
3130,76.6042
3140,77.0885
3150,76.5992
3160,76.2968
3170,76.2437
3180,76.5173
3190,76.3675
3200,76.2693
3210,76.0846
3220,76.0582
3230,76.0189
3240,76.1153
3250,75.9984
3260,75.937
3270,75.5997
3280,75.5318
3290,75.8139
3300,75.4821
3310,75.8363
3320,75.4952
3330,75.7921
3340,75.9258
3350,75.6037
3360,75.3496
3370,75.578
3380,75.172
3390,75.3126
3400,75.4274
3410,75.0037
3420,75.1745
3430,75.3067
3440,75.2394
3450,75.1756
3460,75.0736
3470,75.0992
3480,75.2438
3490,75.2188
3500,74.9302
3510,75.4668
3520,75.1572
3530,75.4252
3540,75.2925
3550,75.4017
3560,75.3574
3570,75.239
3580,75.1242
3590,74.6709
3600,75.3262
3610,75.1553
3620,75.1994
3630,75.2799
3640,75.0864
3650,75.0185
3660,74.9349
3670,74.7456
3680,74.8753
3690,74.8595
3700,74.5531
3710,75.2116
3720,74.8759
3730,74.6813
3740,74.8307
3750,74.9697
3760,74.861
3770,74.873
3780,74.6452
3790,74.3753
3800,74.8222
3810,74.86
3820,74.5821
3830,74.8026
3840,74.4744
3850,74.3864
3860,74.4621
3870,74.786
3880,74.5307
3890,74.3362
3900,74.3655
3910,74.6126
3920,74.188
3930,74.5427
3940,74.019
3950,74.5188
3960,74.1758
3970,74.2404
3980,74.2204
3990,74.3699
4000,74.0719
4010,74.3812
4020,73.9286
4030,74.0714
4040,74.3319
4050,74.2941
4060,74.6585
4070,74.2168
4080,74.2246
4090,74.0356
4100,74.0337
4110,74.1166
4120,73.8845
4130,73.9456
4140,73.9696
4150,73.6922
4160,73.9646
4170,73.6238
4180,73.9527
4190,73.969
4200,74.2034
4210,73.9945
4220,74.0103
4230,74.0833
4240,73.9826
4250,73.9121
4260,74.2045
4270,73.7396
4280,73.8451
4290,73.8582
4300,73.5437
4310,74.0891
4320,73.576
4330,73.6018
4340,73.791
4350,74.1005
4360,73.8848
4370,73.8935
4380,73.7543
4390,74.0074
4400,73.7297
4410,73.2591
4420,73.8941
4430,73.847
4440,73.9313
4450,73.7551
4460,73.4789
4470,73.6276
4480,74.0246
4490,73.412
4500,73.5744
4510,73.6228
4520,73.6759
4530,73.424
4540,73.3362
4550,73.551
4560,73.506
4570,73.5407
4580,73.722
4590,73.6682
4600,73.7743
4610,73.7683
4620,73.8548
4630,73.8089
4640,73.4326
4650,73.5705
4660,73.4477
4670,73.9174
4680,73.4609
4690,73.7292
4700,73.7484
4710,74.0492
4720,73.6457
4730,73.6472
4740,73.5764
4750,73.6343
4760,73.6187
4770,73.685
4780,73.7238
4790,73.5701
4800,73.2405
4810,73.9168
4820,73.7473
4830,73.5834
4840,73.853
4850,73.7269
4860,73.9378
4870,73.9728
4880,73.8969
4890,74.2724
4900,73.9922
4910,73.3392
4920,73.835
4930,74.1806
4940,73.4927
4950,73.8888
4960,73.2482
4970,73.986
4980,74.1284
4990,73.446
5000,73.9353
5010,74.2209
5020,73.9845
5030,73.7802
5040,73.9724
5050,73.7131
5060,74.2464
5070,73.9487
5080,73.9852
5090,73.9943
5100,74.2245
5110,73.8638
5120,73.8751
5130,73.7042
5140,73.8511
5150,73.6266
5160,73.994
5170,74.11
5180,73.7248
5190,73.6222
5200,74.0178
5210,74.0308
5220,73.9898
5230,73.9278
5240,74.1437
5250,73.9295
5260,73.7672
5270,73.9656
5280,73.8181
5290,73.8816
5300,74.1158
5310,74.1661
5320,73.7009
5330,73.9321
5340,74.0338
5350,74.0349
5360,73.8675
5370,73.7887
5380,74.2135
5390,73.5335
5400,73.8458
5410,74.0027
5420,73.8786
5430,74.0284
5440,73.9574
5450,74.0338
5460,73.7317
5470,73.7137
5480,74.025
5490,73.9652
5500,73.9302
5510,73.9498
5520,73.7933
5530,73.9927
5540,74.0772
5550,73.9621
5560,73.8721
5570,73.8231
5580,74.1749
5590,73.933
5600,74.0101
5610,73.9631
5620,73.7035
5630,73.8617
5640,74.0774
5650,73.8433
5660,73.8581
5670,74.0312
5680,73.6098
5690,73.6671
5700,74.0066
5710,74.2028
5720,73.9733
5730,74.0098
5740,73.9917
5750,73.7586
5760,73.717
5770,73.9461
5780,73.8479
5790,73.6777
5800,73.7296
5810,73.9025
5820,73.6789
5830,74.1596
5840,73.6103
5850,74.131
5860,74.0618
5870,74.0277
5880,73.6438
5890,73.7763
5900,73.8587
5910,73.8808
5920,73.3893
5930,73.5102
5940,74.1304
5950,73.8756
5960,73.8543
5970,73.6605
5980,73.9167
5990,73.6971
6000,73.8131
6010,73.6193
6020,73.8401
6030,73.9062
6040,73.8829
6050,73.9331
6060,73.7195
6070,73.7242
6080,73.8562
6090,73.977
6100,73.8985
6110,73.8658
6120,73.9103
6130,73.8849
6140,74.1648
6150,74.2443
6160,73.9381
6170,74.0395
6180,73.8231
6190,73.9715
6200,73.9559
6210,74.428
6220,74.1445
6230,74.1459
6240,74.4036
6250,74.125
6260,74.047
6270,74.3077
6280,74.689
6290,75.1007
6300,74.9631
6310,74.9029
6320,75.0747
6330,75.6858
6340,76.1025
6350,75.6726
6360,76.1827
6370,76.0332
6380,76.6585
6390,76.4672
6400,77.1788
6410,77.273
6420,77.3018
6430,77.7794
6440,77.5245
6450,77.9784
6460,78.2505
6470,78.7292
6480,78.9309
6490,79.3691
6500,79.4275
6510,79.8495
6520,80.2208
6530,80.238
6540,80.7462
6550,80.839
6560,81.193
6570,81.5067
6580,81.6933
6590,81.9411
6600,82.3991
6610,82.2167
6620,82.5886
6630,82.8857
6640,83.5068
6650,83.4956
6660,84.0614
6670,84.0404
6680,84.2149
6690,84.6131
6700,84.8144
6710,85.0534
6720,85.3136
6730,85.2748
6740,85.9628
6750,86.365
6760,86.2553
6770,86.6943
6780,86.867
6790,86.9355
6800,87.1483
6810,87.4975
6820,87.6549
6830,87.4275
6840,88.2801
6850,88.356
6860,88.4332
6870,88.8523
6880,88.7115
6890,89.2852
6900,89.4797
6910,89.1759
6920,89.7158
6930,89.8721
6940,89.6656
6950,90.3275
6960,90.6963
6970,90.7526
6980,91.0138
6990,91.2952
7000,91.1345
7010,91.3634
7020,91.5599
7030,91.7361
7040,91.7409
7050,92.0816
7060,92.5046
7070,92.9058
7080,92.7847
7090,93.2177
7100,93.3466
7110,93.2507
7120,93.1278
7130,93.3996
7140,93.6808
7150,93.6401
7160,93.9909
7170,93.9974
7180,94.2718
7190,94.2254
7200,94.4767
7210,94.7476
7220,94.3709
7230,94.6576
7240,94.9138
7250,95.0357
7260,94.7829
7270,95.1874
7280,95.4837
7290,95.7588
7300,96.0479
7310,95.7038
7320,96.3054
7330,96.3936
7340,96.3337
7350,96.1302
7360,96.4046
7370,96.6832
7380,96.779
7390,97.0832
7400,96.7027
7410,96.8173
7420,97.0579
7430,97.2176
7440,97.167
7450,97.6624
7460,97.6558
7470,97.5522
7480,98.257
7490,97.7796
7500,97.7162
7510,98.2585
7520,98.506
7530,98.0845
7540,98.5019
7550,98.6288
7560,98.4848
7570,98.6011
7580,98.5863
7590,98.6665
7600,98.9379
7610,98.9544
7620,98.7632
7630,98.8694
7640,99.111
7650,99.0507
7660,99.3543
7670,99.6781
7680,99.3484
7690,99.3843
7700,99.7161
7710,99.2612
7720,100.165
7730,99.7292
7740,100.305
7750,99.8447
7760,100.334
7770,99.8237
7780,100.856
7790,99.8895
7800,100.358
7810,100.267
7820,100.058
7830,100.311
7840,100.676
7850,100.638
7860,100.668
7870,100.178
7880,100.71
7890,100.977
7900,100.84
7910,101.001
7920,101.032
7930,100.803
7940,101.312
7950,101.369
7960,101.374
7970,101.459
7980,101.299
7990,101.718
8000,101.863
8010,101.792
8020,101.604
8030,101.924
8040,102.115
8050,101.914
8060,101.973
8070,101.73
8080,101.797
8090,102.37
8100,102.179
8110,101.81
8120,102.504
8130,102.246
8140,102.625
8150,102.011
8160,102.689
8170,102.503
8180,102.455
8190,102.27
8200,102.607
8210,102.048
8220,102.553
8230,102.604
8240,102.796
8250,102.626
8260,102.699
8270,102.585
8280,102.695
8290,102.809
8300,102.393
8310,103.5
8320,102.564
8330,102.75
8340,103.243
8350,102.93
8360,102.923
8370,102.984
8380,103.044
8390,103.328
8400,103.654
8410,103.212
8420,102.771
8430,103.501
8440,103.684
8450,103.372
8460,103.47
8470,102.921
8480,103.36
8490,103.201
8500,103.175
8510,103.433
8520,103.211
8530,103.365
8540,103.274
8550,103.362
8560,103.34
8570,103.359
8580,103.23
8590,103.462
8600,103.462
8610,103.916
8620,103.606
8630,103.541
8640,103.756
8650,103.419
8660,103.692
8670,104.003
8680,103.176
8690,103.85
8700,103.6
8710,103.42
8720,104.096
8730,103.874
8740,103.591
8750,103.712
8760,104.034
8770,103.754
8780,103.724
8790,103.865
8800,104.253
8810,104.033
8820,103.817
8830,104.354
8840,104.031
8850,104.624
8860,104.477
8870,103.902
8880,103.529
8890,103.993
8900,103.823
8910,104.405
8920,104.078
8930,103.835
8940,103.983
8950,104.166
8960,104.232
8970,104.173
8980,103.879
8990,103.847
9000,103.86
9010,103.985
9020,104.116
9030,104.055
9040,104.256
9050,104.227
9060,104.305
9070,104.248
9080,103.98
9090,104.155
9100,104.176
9110,104.069
9120,104.048
9130,104.097
9140,104.028
9150,104.132
9160,104.111
9170,104.289
9180,104.019
9190,104.472
9200,104.3
9210,104.274
9220,104.284
9230,104.492
9240,104.39
9250,104.383
9260,104.678
9270,104.799
9280,104.261
9290,104.665
9300,104.724
9310,104.734
9320,104.234
9330,104.551
9340,104.525
9350,104.506
9360,104.761
9370,104.271
9380,104.794
9390,104.645
9400,104.417
9410,104.789
9420,104.513
9430,105.03
9440,104.773
9450,104.604
9460,104.476
9470,104.507
9480,104.608
9490,105.154
9500,105.001
9510,104.783
9520,104.682
9530,104.513
9540,105.17
9550,104.876
9560,104.378
9570,104.982
9580,104.711
9590,104.893
9600,105.313
9610,104.644
9620,104.865
9630,105.261
9640,105.082
9650,104.85
9660,104.804
9670,105.065
9680,104.972
9690,105.083
9700,104.847
9710,105.445
9720,105.372
9730,104.952
9740,105.343
9750,105.16
9760,105.211
9770,105.281
9780,105.777
9790,105.292
9800,105.74
9810,105.677
9820,105.34
9830,105.933
9840,106.065
9850,105.96
9860,106.371
9870,106.643
9880,107.484
9890,107.042
9900,107.236
9910,107.645
9920,107.306
9930,108.027
9940,108.598
9950,108.603
9960,109.219
9970,109.554
9980,109.427
9990,109.854
10000,110.511
10010,110.642
10020,110.977
10030,111.086
10040,111.641
10050,112.012
10060,112.384
10070,112.437
10080,112.668
10090,113.401
10100,113.763
10110,114.144
10120,113.924
10130,114.796
10140,115.108
10150,115.02
10160,115.899
10170,116.03
10180,115.927
10190,116.941
10200,116.962
10210,116.733
10220,117.804
10230,117.961
10240,117.808
10250,118.245
10260,118.691
10270,119.029
10280,119.944
10290,119.619
10300,119.765
10310,119.881
10320,120.439
10330,120.404
10340,120.589
10350,121.55
10360,121.076
10370,121.718
10380,122.272
10390,122.267
10400,122.983
10410,122.876
10420,123.155
10430,123.784
10440,123.847
10450,123.833
10460,124.108
10470,124.207
10480,124.261
10490,124.712
10500,125.043
10510,124.766
10520,125.394
10530,125.723
10540,125.757
10550,126.02
10560,126.332
10570,126.79
10580,126.836
10590,126.939
10600,126.858
10610,127.204
10620,127.439
10630,127.501
10640,127.712
10650,127.856
10660,128.111
10670,127.86
10680,128.432
10690,128.323
10700,128.564
10710,128.633
10720,128.876
10730,129.467
10740,129.341
10750,130.116
10760,130.135
10770,129.853
10780,130.295
10790,130.275
10800,130.71
10810,130.836
10820,130.784
10830,131.176
10840,131.042
10850,131.342
10860,131.652
10870,131.461
10880,131.981
10890,131.812
10900,132.5
10910,132.393
10920,132.272
10930,132.424
10940,132.507
10950,132.489
10960,132.813
10970,132.885
10980,133.448
10990,133.279
11000,133.307
11010,133.773
11020,133.822
11030,133.345
11040,134.014
11050,134
11060,133.037
11070,134.397
11080,134.023
11090,134.755
11100,134.302
11110,134.592
11120,134.647
11130,134.921
11140,134.991
11150,135.41
11160,134.79
11170,135.541
11180,135.418
11190,135.144
11200,135.351
11210,135.607
11220,135.697
11230,135.622
11240,135.492
11250,135.637
11260,136.042
11270,135.809
11280,136.338
11290,136.187
11300,136.339
11310,136.33
11320,136.33
11330,136.323
11340,136.546
11350,136.312
11360,136.782
11370,136.408
11380,137.216
11390,136.263
11400,136.989
11410,136.876
11420,136.861
11430,136.914
11440,136.677
11450,137.282
11460,137.41
11470,137.256
11480,137.301
11490,136.674
11500,137.327
11510,137.475
11520,137.14
11530,137.307
11540,136.969
11550,137.511
11560,136.892
11570,137.1
11580,138.075
11590,137.591
11600,137.437
11610,137.503
11620,137.577
11630,137.006
11640,137.112
11650,137.351
11660,137.627
11670,137.852
11680,137.71
11690,138.01
11700,137.468
11710,137.875
11720,137.541
11730,138.045
11740,138.109
11750,137.614
11760,138.059
11770,138.248
11780,138.42
11790,138.133
11800,138.246
11810,138.179
11820,137.947
11830,138.18
11840,138.083
11850,138.162
11860,138.381
11870,138.109
11880,138.909
11890,137.939
11900,138.857
11910,138.691
11920,138.773
11930,138.678
11940,138.53
11950,138.548
11960,138.744
11970,138.62
11980,138.297
11990,138.726
12000,138.758
12010,138.43
12020,138.465
12030,139.065
12040,139.003
12050,138.771
12060,138.969
12070,138.999
12080,139.292
12090,139.39
12100,139.042
12110,138.592
12120,138.809
12130,139.171
12140,139.491
12150,139.328
12160,138.801
12170,139.563
12180,139.544
12190,139.203
12200,139.508
12210,139.175
12220,139.668
12230,139.526
12240,139.248
12250,139.545
12260,139.719
12270,139.676
12280,139.324
12290,139.488
12300,139.542
12310,139.656
12320,139.244
12330,139.397
12340,139.755
12350,139.37
12360,139.337
12370,139.558
12380,139.924
12390,139.463
12400,139.383
12410,140.163
12420,140.021
12430,139.93
12440,140.087
12450,140.147
12460,139.838
12470,139.747
12480,139.744
12490,140.386
12500,139.971
12510,140.056
12520,139.814
12530,139.899
12540,139.957
12550,140.617
12560,139.989
12570,139.908
12580,140.05
12590,140.101
12600,139.882
12610,140.221
12620,140.035
12630,140.308
12640,140.091
12650,140.107
12660,140.27
12670,140.177
12680,139.859
12690,140.207
12700,140.107
12710,140.332
12720,140.204
12730,139.578
12740,140.531
12750,140.721
12760,140.136
12770,140.145
12780,140.317
12790,140.013
12800,140.643
12810,140.442
12820,139.917
12830,140.201
12840,140.51
12850,140.232
12860,140.776
12870,140.055
12880,140.486
12890,140.317
12900,140.303
12910,140.502
12920,140.515
12930,140.656
12940,140.48
12950,140.208
12960,140.751
12970,140.914
12980,140.196
12990,140.329
13000,140.268
13010,140.654
13020,140.654
13030,140.817
13040,140.688
13050,140.435
13060,140.748
13070,140.4
13080,140.533
13090,140.934
13100,140.843
13110,140.188
13120,141.125
13130,140.677
13140,140.993
13150,140.639
13160,140.832
13170,140.558
13180,140.874
13190,140.827
13200,140.637
13210,140.632
13220,140.389
13230,140.681
13240,140.664
13250,140.874
13260,140.542
13270,140.715
13280,140.735
13290,140.919
13300,140.924
13310,141.353
13320,141.369
13330,141.508
13340,141.462
13350,141.957
13360,141.84
13370,142.235
13380,142.777
13390,142.769
13400,142.795
13410,142.849
13420,143.458
13430,143.825
13440,145.069
13450,144.997
13460,145.845
13470,145.587
13480,146.01
13490,146.61
13500,146.526
13510,147.217
13520,147.153
13530,147.811
13540,148.342
13550,148.307
13560,148.667
13570,148.962
13580,149.101
13590,149.841
13600,149.847
13610,150.324
13620,150.995
13630,151.34
13640,151.222
13650,151.542
13660,153.456
13670,152
13680,152.941
13690,153.023
13700,153.481
13710,154.181
13720,154.247
13730,154.478
13740,154.934
13750,155.556
13760,155.126
13770,155.805
13780,156.523
13790,156.774
13800,157.026
13810,157.171
13820,158.202
13830,157.513
13840,158.598
13850,159.016
13860,158.783
13870,159.168
13880,159.77
13890,159.819
13900,160.64
13910,160.475
13920,160.872
13930,160.471
13940,161.606
13950,161.945
13960,162.295
13970,162.622
13980,162.907
13990,163.284
14000,163.442
14010,163.48
14020,163.756
14030,163.535
14040,164.709
14050,165.11
14060,165.03
14070,165.413
14080,165.361
14090,165.642
14100,165.881
14110,166.144
14120,166.712
14130,166.833
14140,167.53
14150,167.986
14160,167.213
14170,167.581
14180,168.376
14190,167.674
14200,168.497
14210,169.071
14220,169.179
14230,168.933
14240,169.244
14250,169.524
14260,169.914
14270,170.259
14280,170.102
14290,170.458
14300,170.865
14310,170.439
14320,170.985
14330,171.55
14340,170.924
14350,171.588
14360,171.96
14370,171.575
14380,172.14
14390,172.563
14400,172.539
14410,172.859
14420,172.794
14430,173.276
14440,172.71
14450,173.448
14460,173.944
14470,173.757
14480,174.051
14490,173.381
14500,174.396
14510,174.101
14520,174.329
14530,174.127
14540,174.108
14550,174.852
14560,174.93
14570,174.836
14580,175.24
14590,175.345
14600,174.873
14610,176.232
14620,175.819
14630,176.207
14640,175.782
14650,175.509
14660,175.883
14670,176.393
14680,176.089
14690,175.785
14700,176.756
14710,176.114
14720,176.296
14730,176.689
14740,176.701
14750,176.324
14760,176.945
14770,176.913
14780,177.041
14790,177.519
14800,176.892
14810,176.751
14820,177.276
14830,177.311
14840,177.02
14850,177.276
14860,177.9
14870,177.869
14880,177.782
14890,177.943
14900,178.068
14910,178.296
14920,178.166
14930,177.781
14940,177.293
14950,177.95
14960,177.542
14970,178.277
14980,178.112
14990,178.349
15000,179.029
15010,178.139
15020,178.807
15030,178.167
15040,178.066
15050,178.147
15060,178.424
15070,179.026
15080,178.528
15090,178.556
15100,178.566
15110,178.365
15120,178.662
15130,178.449
15140,179.207
15150,178.932
15160,178.929
15170,178.618
15180,178.776
15190,178.821
15200,179.188
15210,179.41
15220,179.22
15230,179.012
15240,179.738
15250,179.175
15260,179.336
15270,179.582
15280,179.539
15290,179.632
15300,179.433
15310,179.887
15320,179.568
15330,180.111
15340,179.733
15350,180.04
15360,179.126
15370,179.521
15380,179.762
15390,180.047
15400,179.76
15410,179.732
15420,179.895
15430,179.419
15440,179.596
15450,179.556
15460,179.653
15470,179.828
15480,179.959
15490,180.246
15500,179.716
15510,180.495
15520,179.982
15530,180.332
15540,180.24
15550,180.263
15560,180.153
15570,179.708
15580,179.995
15590,180.042
15600,179.364
15610,180.649
15620,180.273
15630,180.156
15640,180.548
15650,180.221
15660,180.673
15670,180.345
15680,180.578
15690,180.129
15700,180.673
15710,180.775
15720,181.113
15730,180.617
15740,181.321
15750,180.857
15760,181.071
15770,180.951
15780,181.195
15790,180.966
15800,180.44
15810,181.006
15820,181.35
15830,181.489
15840,181.279
15850,181.077
15860,181.075
15870,180.884
15880,181.377
15890,181.038
15900,181.092
15910,181.841
15920,181.802
15930,181.045
15940,181.513
15950,181.405
15960,181.392
15970,181.186
15980,181.792
15990,181.607
16000,181.26
16010,181.278
16020,181.673
16030,181.352
16040,181.408
16050,181.3
16060,181.508
16070,181.423
16080,181.336
16090,182.222
16100,181.687
16110,182.189
16120,181.794
16130,181.525
16140,181.43
16150,182.216
16160,182.069
16170,182.049
16180,181.908
16190,182.697
16200,182.013
16210,182.246
16220,182.618
16230,182.66
16240,182.424
16250,182.646
16260,182.893
16270,182.827
16280,182.461
16290,183.303
16300,182.913
16310,183.06
16320,182.449
16330,182.114
16340,182.387
16350,182.947
16360,182.707
16370,182.778
16380,182.82
16390,182.836
16400,182.752
16410,182.984
16420,183.01
16430,182.537
16440,182.666
16450,182.405
16460,182.768
16470,182.685
16480,182.88
16490,182.943
16500,182.419
16510,182.643
16520,182.686
16530,182.924
16540,182.858
16550,182.454
16560,182.585
16570,183.226
16580,182.874
16590,182.651
16600,181.894
16610,182.65
16620,182.928
16630,182.296
